날짜,호선,역명,구분,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
2024-02-03,2호선,잠실(송파구청),승차,780,950,1973,2447,2751,3271,3963,4351,4911,5322,6040,6585,5731,5539,6170,5908,3896,1075
2024-02-03,2호선,잠실(송파구청),하차,1000,1302,2265,4113,4410,4848,5402,5605,5557,5844,6115,5714,4661,3304,2785,2699,2419,1550
2024-02-03,8호선,잠실(송파구청),승차,98,113,200,276,326,514,659,823,995,1323,1531,1509,1545,1324,1508,1357,1074,345
2024-02-03,8호선,잠실(송파구청),하차,246,418,634,1008,1324,1553,1684,1721,1638,1509,1633,1393,1058,658,465,364,219,134
2024-02-04,2호선,잠실(송파구청),승차,453,590,1161,1754,1988,2262,2861,3292,3809,4229,4594,4880,4764,4350,5680,4642,2846,702
2024-02-04,2호선,잠실(송파구청),하차,600,885,1860,3542,3421,3661,4187,4398,4067,4290,3818,4042,3655,2680,2263,2048,1626,936
2024-02-04,8호선,잠실(송파구청),승차,65,77,152,209,239,318,426,584,805,1043,1206,1230,1319,1035,1202,1026,741,185
2024-02-04,8호선,잠실(송파구청),하차,152,213,565,779,1035,1128,1218,1433,1396,1167,1149,989,717,465,360,227,144,90
2024-02-05,2호선,잠실(송파구청),승차,2102,4918,7357,5247,2906,2570,2709,3040,3080,3678,4283,5843,8179,5570,5399,4038,2186,737
2024-02-05,2호선,잠실(송파구청),하차,1255,3215,6965,6720,4079,3505,3310,3058,3185,3208,4115,5748,8715,5831,3678,3114,2605,1296
2024-02-05,8호선,잠실(송파구청),승차,194,385,548,411,400,488,578,631,820,1084,1228,1678,3069,1625,1468,1269,782,247
2024-02-05,8호선,잠실(송파구청),하차,455,1399,3945,1973,1137,1085,930,887,836,873,897,1135,1514,778,481,317,240,123
2024-02-06,2호선,잠실(송파구청),승차,2164,5334,7765,5073,2982,2695,2882,3217,3332,3781,4370,6008,8816,5721,5698,4547,2920,959
2024-02-06,2호선,잠실(송파구청),하차,1199,3432,7578,6597,4104,3630,3223,3388,3298,3525,3843,6234,9477,5725,3847,3402,3020,1379
2024-02-06,8호선,잠실(송파구청),승차,176,396,573,386,389,445,563,637,796,1062,1249,1739,2883,1565,1423,1302,849,306
2024-02-06,8호선,잠실(송파구청),하차,456,1495,3819,2014,1137,1089,973,944,951,848,921,1188,1746,729,463,388,275,144
2024-02-07,2호선,잠실(송파구청),승차,2116,5242,7492,4843,2912,2680,3000,3461,3458,3862,4540,6676,8938,5832,5628,4392,3422,1147
2024-02-07,2호선,잠실(송파구청),하차,1178,3200,7670,6310,4021,3579,3458,3606,3574,3879,4369,6240,9585,5831,3902,3329,3136,1688
2024-02-07,8호선,잠실(송파구청),승차,185,412,557,456,351,485,572,690,847,1068,1287,1843,2853,1572,1409,1420,1000,373
2024-02-07,8호선,잠실(송파구청),하차,404,1416,3729,2097,1149,1082,1032,938,952,916,946,1361,1849,848,499,358,266,141
