date,weather_code,precipitation_sum,snowfall_sum,weather_category,weather_label,weather_label_ko
2024-09-21,63,15.5,0.0,precipitation,Precipitation,비/눈
2024-09-22,51,0.6,0.0,precipitation,Precipitation,비/눈
2024-09-23,3,0.0,0.0,cloudy,Cloudy,흐림
2024-09-24,3,0.0,0.0,cloudy,Cloudy,흐림
2024-09-25,51,0.7,0.0,precipitation,Precipitation,비/눈
2024-09-26,61,2.6,0.0,precipitation,Precipitation,비/눈
2024-09-27,51,0.3,0.0,precipitation,Precipitation,비/눈
2024-09-28,3,0.0,0.0,cloudy,Cloudy,흐림
2024-09-29,3,0.0,0.0,cloudy,Cloudy,흐림
2024-09-30,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-01,63,5.2,0.0,precipitation,Precipitation,비/눈
2024-10-02,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-03,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-04,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-05,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-06,51,0.4,0.0,precipitation,Precipitation,비/눈
2024-10-07,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-08,51,0.1,0.0,precipitation,Precipitation,비/눈
2024-10-09,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-10,51,0.1,0.0,precipitation,Precipitation,비/눈
2024-10-11,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-12,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-13,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-14,51,0.3,0.0,precipitation,Precipitation,비/눈
2024-10-15,55,1.3,0.0,precipitation,Precipitation,비/눈
2024-10-16,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-17,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-18,65,42.9,0.0,precipitation,Precipitation,비/눈
2024-10-19,63,4.8,0.0,precipitation,Precipitation,비/눈
2024-10-20,2,0.0,0.0,cloudy,Cloudy,흐림
2024-10-21,51,0.8,0.0,precipitation,Precipitation,비/눈
2024-10-22,63,9.3,0.0,precipitation,Precipitation,비/눈
2024-10-23,53,1.3,0.0,precipitation,Precipitation,비/눈
2024-10-24,1,0.0,0.0,clear,Clear,맑음
2024-10-25,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-26,3,0.0,0.0,cloudy,Cloudy,흐림
2024-10-27,51,0.1,0.0,precipitation,Precipitation,비/눈
2024-10-28,51,0.2,0.0,precipitation,Precipitation,비/눈
2024-10-29,51,0.1,0.0,precipitation,Precipitation,비/눈
2024-10-30,2,0.0,0.0,cloudy,Cloudy,흐림
2024-10-31,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-01,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-02,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-03,53,0.9,0.0,precipitation,Precipitation,비/눈
2024-11-04,51,0.9,0.0,precipitation,Precipitation,비/눈
2024-11-05,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-06,0,0.0,0.0,clear,Clear,맑음
2024-11-07,0,0.0,0.0,clear,Clear,맑음
2024-11-08,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-09,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-10,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-11,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-12,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-13,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-14,51,0.2,0.0,precipitation,Precipitation,비/눈
2024-11-15,51,0.2,0.0,precipitation,Precipitation,비/눈
2024-11-16,55,4.6,0.0,precipitation,Precipitation,비/눈
2024-11-17,51,0.1,0.0,precipitation,Precipitation,비/눈
2024-11-18,2,0.0,0.0,cloudy,Cloudy,흐림
2024-11-19,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-20,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-21,51,0.6,0.0,precipitation,Precipitation,비/눈
2024-11-22,0,0.0,0.0,clear,Clear,맑음
2024-11-23,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-24,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-25,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-26,73,23.1,0.28,precipitation,Precipitation,비/눈
2024-11-27,75,12.6,8.12,precipitation,Precipitation,비/눈
2024-11-28,71,0.7,0.49,precipitation,Precipitation,비/눈
2024-11-29,3,0.0,0.0,cloudy,Cloudy,흐림
2024-11-30,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-01,51,0.3,0.0,precipitation,Precipitation,비/눈
2024-12-02,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-03,3,0.0,0.0,cloudy,Cloudy,흐림
2024-12-04,1,0.0,0.0,clear,Clear,맑음
