일자,요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,요일(2)
20230109,월,마포대교,C-07,유입,마포대교남단->마포대교북단,579.0,392.0,263.0,272.0,415.0,1398.0,3020.0,4034.0,4059.0,3865.0,3361.0,3302.0,2811.0,3075.0,3109.0,3195.0,3159.0,3911.0,4339.0,3224.0,2745.0,2491.0,2082.0,1434.0,
20230109,월,마포대교,C-07,유출,마포대교북단->마포대교남단,463.0,316.0,226.0,311.0,425.0,838.0,2113.0,3889.0,3684.0,3052.0,2843.0,2565.0,2521.0,2813.0,2823.0,3043.0,3021.0,3153.0,3471.0,3091.0,2461.0,2290.0,1939.0,1235.0,
20230109,월,원효대교,C-08,유입,원효대교남단->원효대교북단,237.0,201.0,109.0,91.0,187.0,574.0,1108.0,2007.0,2348.0,2125.0,1807.0,1580.0,1395.0,1565.0,1461.0,1477.0,1420.0,1498.0,1715.0,1119.0,1074.0,925.0,742.0,639.0,
20230109,월,원효대교,C-08,유출,원효대교북단->원효대교남단,244.0,192.0,115.0,104.0,156.0,303.0,601.0,1393.0,1577.0,1234.0,1139.0,1178.0,1131.0,1242.0,1287.0,1490.0,1637.0,1618.0,1684.0,1233.0,968.0,793.0,638.0,420.0,
20230109,월,한강대교,C-09,유입,한강대교남단->한강대교북단,718.0,510.0,388.0,345.0,508.0,1279.0,2394.0,3152.0,2743.0,2713.0,2686.0,2482.0,2119.0,2241.0,2231.0,2313.0,2083.0,2062.0,1886.0,1595.0,1567.0,1496.0,1445.0,1163.0,
20230109,월,한강대교,C-09,유출,한강대교북단->한강대교남단,1055.0,618.0,501.0,367.0,469.0,922.0,1580.0,1890.0,2011.0,1798.0,1842.0,1901.0,1829.0,1935.0,2084.0,2294.0,2787.0,3244.0,3786.0,3166.0,2387.0,2209.0,1975.0,1424.0,
20230110,화,서강대교,C-06,유입,서강대교남단->서강대교북단,191.0,168.0,118.0,76.0,108.0,244.0,583.0,878.0,1122.0,1282.0,1158.0,1096.0,1025.0,1087.0,1093.0,901.0,1134.0,1437.0,1947.0,1112.0,712.0,645.0,481.0,313.0,
20230110,화,서강대교,C-06,유출,서강대교북단->서강대교남단,313.0,207.0,122.0,276.0,229.0,284.0,650.0,1797.0,2165.0,1490.0,1286.0,1147.0,1156.0,1319.0,1300.0,1403.0,1495.0,1589.0,1227.0,908.0,806.0,736.0,670.0,433.0,
20230110,화,마포대교,C-07,유입,마포대교남단->마포대교북단,1031.0,757.0,469.0,345.0,487.0,1396.0,2953.0,3914.0,4167.0,4166.0,3769.0,3979.0,3221.0,3491.0,3394.0,3151.0,3358.0,4048.0,4047.0,3356.0,2690.0,2681.0,2134.0,1589.0,
20230110,화,마포대교,C-07,유출,마포대교북단->마포대교남단,704.0,534.0,356.0,349.0,494.0,815.0,1958.0,3760.0,3655.0,3111.0,2908.0,2704.0,2608.0,2989.0,2998.0,3145.0,3285.0,3257.0,3618.0,3282.0,2820.0,2406.0,2073.0,1305.0,
20230110,화,원효대교,C-08,유입,원효대교남단->원효대교북단,472.0,341.0,192.0,134.0,221.0,608.0,1121.0,1910.0,2399.0,2194.0,2011.0,1909.0,1506.0,1703.0,1810.0,1537.0,1534.0,1722.0,1804.0,1244.0,988.0,1047.0,790.0,652.0,
20230110,화,원효대교,C-08,유출,원효대교북단->원효대교남단,325.0,225.0,159.0,128.0,147.0,297.0,564.0,1310.0,1551.0,1217.0,1130.0,1193.0,1137.0,1302.0,1255.0,1498.0,1691.0,1729.0,1597.0,1199.0,1048.0,850.0,742.0,509.0,
20230110,화,한강대교,C-09,유입,한강대교남단->한강대교북단,814.0,624.0,415.0,402.0,460.0,1171.0,2254.0,2924.0,2678.0,2762.0,2669.0,2427.0,2303.0,2457.0,2169.0,2168.0,2190.0,2147.0,1962.0,1624.0,1587.0,1610.0,1605.0,1261.0,
20230110,화,한강대교,C-09,유출,한강대교북단->한강대교남단,1096.0,796.0,570.0,424.0,441.0,865.0,1498.0,1877.0,1949.0,1799.0,1739.0,1822.0,1863.0,1881.0,2111.0,2316.0,2781.0,3301.0,3984.0,3322.0,2578.0,2438.0,2292.0,1668.0,
20230111,수,서강대교,C-06,유입,서강대교남단->서강대교북단,203.0,184.0,109.0,95.0,90.0,268.0,537.0,851.0,1108.0,1307.0,1070.0,1109.0,914.0,989.0,1140.0,990.0,1122.0,1402.0,1859.0,1040.0,740.0,625.0,538.0,378.0,
20230111,수,서강대교,C-06,유출,서강대교북단->서강대교남단,320.0,224.0,168.0,252.0,217.0,253.0,671.0,1781.0,2171.0,1419.0,1249.0,1222.0,1169.0,1240.0,1223.0,1431.0,1571.0,1694.0,1126.0,962.0,795.0,807.0,710.0,500.0,
20230111,수,마포대교,C-07,유입,마포대교남단->마포대교북단,1236.0,844.0,578.0,394.0,548.0,1465.0,2977.0,4032.0,4075.0,3919.0,3882.0,3892.0,3256.0,3542.0,3573.0,3469.0,3419.0,4086.0,4137.0,3381.0,2739.0,2792.0,2282.0,1576.0,
20230111,수,마포대교,C-07,유출,마포대교북단->마포대교남단,835.0,487.0,373.0,424.0,476.0,736.0,1910.0,3617.0,3686.0,3002.0,2772.0,2781.0,2508.0,2838.0,2898.0,2849.0,3299.0,3323.0,3670.0,3101.0,2650.0,2631.0,2068.0,1326.0,
